"","3-fold embryo Ce","4-cell embryo Ce","adult Ce","dauer larva Ce","elongating embryo Ce","enclosing embryo Ce","fully-elongated embryo Ce","gastrulating embryo Ce","L1 larva Ce","L2 larva Ce","L2d-dauer molt Ce","L3 larva Ce","L4 larva Ce","late cleavage stage embryo Ce","newly molted young adult hermaphrodite Ce","post dauer stage Ce","proliferating embryo Ce"
"WBGene00000292",14429,1828,2172,5140,18346,2866,16139,5932,14472,2545,4636,3606,2382,7629,6157,4619,23696
"WBGene00000293",13976,2234,5577,13884,16768,8056,26003,12790,39056,3456,9959,5930,4170,9043,8790,8436,53657
"WBGene00000294",11395,939,3906,11994,14984,684,15903,3688,50473,4577,10114,7070,3934,4512,5635,7521,25032
"WBGene00000295",556,4,53,729,367,62,1651,53,8342,366,694,193,84,159,66,638,496
"WBGene00000296",50,10,29,755,14,8,537,37,1497,98,444,105,274,29,61,281,1060
"WBGene00000298",849,9,1195,1390,1377,212,1219,261,7489,676,5494,2751,1080,588,4247,2364,314
"WBGene00000301",33196,1249,5023,59,122158,69297,112601,130800,2488,524,516,32,590,107352,525,68,267047
"WBGene00000302",4004,2,90,1439,3242,6,6447,340,3991,530,2284,555,460,363,360,1690,2095
"WBGene00000366",47236,4835,18775,30351,74158,1925,112039,15587,150055,16293,22319,11546,9612,33925,15081,17477,201350
"WBGene00000367",3220,30,347,5933,3817,47,9200,142,24196,2023,3643,1714,592,1263,794,3640,3086
"WBGene00000368",7513,79,376,3777,5188,75,14823,476,25011,2727,3741,1676,953,1097,871,2431,6270
"WBGene00000369",10262,1822,5147,4955,10975,2312,15183,8825,15503,2881,4245,3917,3129,5719,6861,5156,69200
"WBGene00000370",964,19,2536,33787,997,11,7422,42,120945,3516,40046,5536,2552,294,4235,23244,1721
"WBGene00000371",13243,3215,8496,19984,19385,11494,20310,32147,24129,12469,16303,15828,20032,7762,21810,20600,54958
"WBGene00000372",14,1,2,110,164,10,47,1,321,19,78,10,6,16,9,78,43
"WBGene00000373",350,6,502,5326,403,6,1517,30,3538,405,4748,575,279,97,628,5757,281
"WBGene00000374",1460,9,341,4724,2644,1080,4389,1243,7010,1048,3498,1483,2919,1491,1033,4068,8578
"WBGene00000375",486,469,860,1744,1312,319,1388,1621,1313,273,806,961,588,950,2931,867,4348
"WBGene00000376",26903,8627,19007,18311,41472,2633,64328,18953,57344,7517,23368,8896,9596,17643,16973,11367,178935
"WBGene00000377",14714,6798,18513,27376,11904,5078,34974,19299,45872,14833,17020,18932,10307,5591,27499,31693,120884
"WBGene00000378",11929,4658,15110,27331,8771,1290,28070,5893,38967,16433,13597,15958,9906,3558,28527,24496,41121
"WBGene00000379",14091,3740,16267,87461,11696,1692,33026,10085,66133,15087,26225,20482,11751,4012,27222,38707,64088
"WBGene00000380",21705,7927,30560,84987,20501,13691,63626,46418,146933,27642,36673,34188,17098,12075,46087,65579,148900
"WBGene00000381",10906,3516,17893,26417,8596,1708,29635,5065,39430,16783,16237,18669,9736,3815,27947,27143,40793
"WBGene00000382",1784,1019,1742,3575,3264,824,4710,3818,2342,580,1588,1353,1268,2151,5048,2633,15167
"WBGene00000383",15576,3170,6814,13055,29010,1953,38705,11220,113882,3980,10696,3447,3035,14912,10436,8424,64164
"WBGene00000386",3623,4216,8598,4582,3819,608,6481,5290,4872,739,2168,2255,2953,2054,17653,2590,59301
"WBGene00000387",12411,1177,2581,905,28794,3844,27268,13678,3459,1079,751,690,811,16183,1106,493,79402
"WBGene00000388",848,2387,954,10,479,56,1302,2552,24,9,26,3,191,190,2219,0,17629
"WBGene00000389",251,5,137,11,77,8,270,32,9,2,12,90,1447,9,248,8,400
"WBGene00000390",21446,3087,5376,14032,29672,2225,27914,8187,60556,3883,9818,7680,5512,10278,12246,11193,43471
"WBGene00000391",1460,5,162,550,3011,190,1933,243,9440,794,729,1241,1358,996,1565,1101,761
"WBGene00000392",1014,934,1226,1317,1181,397,1173,1658,2131,1145,1006,1001,969,528,2354,944,11546
"WBGene00000393",4812,391,1021,2708,4623,181,7280,989,12298,1610,2882,1768,954,1325,1890,2500,8728
"WBGene00000395",19838,240,419,841,38525,106,22506,811,3177,2309,568,2985,351,9654,495,603,14518
"WBGene00000396",40769,6976,5783,4336,83580,774,118154,13805,27975,9555,3553,3415,1971,33534,4447,3212,154837
"WBGene00000397",26127,62,107,700,18763,30,33388,1018,1226,6381,700,1160,1034,2678,214,328,13448
"WBGene00000399",22,21,30,335,19,11,102,26,82,5818,1357,11124,330,23,122,452,143
"WBGene00000401",10546,9,30,112,7238,49,11409,408,5008,846,302,384,420,1210,116,127,5469
"WBGene00000402",77,27,48,597,142,18,233,29,163,7474,1855,12830,596,81,153,529,182
"WBGene00000403",26768,501,2476,60422,16456,123,63591,1707,400919,14798,38255,6821,2293,2733,2864,40872,30370
"WBGene00000405",4426,5265,7020,3074,9445,8641,11281,22407,3504,1977,1801,2099,2803,8397,11602,2966,88904
"WBGene00000406",867,656,498,130,2820,2203,3060,7212,1917,263,238,297,150,2062,703,369,11586
"WBGene00000407",3761,853,1361,3638,3411,531,3932,1111,11202,855,2446,1293,1097,1345,3423,2451,6385
"WBGene00000408",2304,1614,1398,3540,3986,1457,4491,4518,4128,557,1985,1241,1166,2381,4619,2448,16677
"WBGene00000409",3257,1141,3264,3760,6061,750,8344,3571,4682,1068,2510,1749,1195,2676,4105,2587,15196
"WBGene00000410",2893,654,1253,3459,3675,767,5324,2425,4213,1377,2255,1457,1253,2092,2993,2580,13806
"WBGene00000411",10073,4878,9381,4704,19880,8961,32340,34197,14065,3868,2218,2577,2764,19556,11105,2921,177881
"WBGene00000412",71,4,27,82,105,2,213,14,338,356,304,99,75,32,113,339,47
"WBGene00000413",2156,1544,2908,1768,5416,1390,10007,7927,2177,980,794,1036,731,4748,3307,888,42548
"WBGene00000414",11609,303,572,5210,26571,12550,20482,18596,31068,1809,5713,1984,1298,12907,1937,4424,17815
"WBGene00000415",6899,2071,6543,10889,9231,297,14638,1879,64430,3359,8280,4312,1218,3836,5234,6624,25265
"WBGene00000416",1815,1891,1384,1729,1592,674,2935,2213,3953,403,939,584,1087,956,4100,1027,16581
"WBGene00000417",3447,2494,9487,2193,5597,1628,6876,5593,2481,1034,891,1005,1860,3823,9683,878,29407
"WBGene00000418",2100,1007,1452,1879,5362,795,5285,3510,4270,646,1130,881,963,3311,3418,1374,15148
"WBGene00000419",5531,2459,4777,5488,8282,191,12273,2000,10865,2968,3156,3630,2010,3678,9190,3583,21880
"WBGene00000420",3110,794,1634,1928,4352,318,3639,801,10023,695,1244,1322,685,1654,2565,1360,5506
"WBGene00000421",8937,3927,7738,23682,13837,286,25511,3472,20459,6648,17738,7514,4741,6079,11550,13329,42399
"WBGene00000422",919,163,200,72,2043,494,1822,2076,81,94,60,55,32,1182,223,110,5751
"WBGene00000423",1620,1373,1931,1394,2912,1977,5855,4262,3215,369,1112,457,1372,2418,2799,905,26424
"WBGene00000424",4231,792,1542,2009,6087,992,8953,3041,16136,2048,2571,1862,1924,2525,3172,2200,18063
"WBGene00000425",6688,61,371,2329,8164,702,18395,2602,2316,1408,2031,664,535,3975,557,1545,15078
"WBGene00000426",2933,1097,2319,4506,4872,556,8167,3116,7104,881,2618,1756,1277,2241,4217,2679,18101
"WBGene00000427",4,2,0,0,19,2,6,9,4,1,0,0,0,6,5,0,20
"WBGene00000428",142,2,5,55,43,5,145,8,371,31,39,20,90,9,38,51,138
"WBGene00000429",675,3,2,44,1102,24,650,45,261,35,26,26,14,246,27,15,302
"WBGene00000430",1294,9,13,25,2721,479,908,654,28,10,18,11,40,921,70,24,673
"WBGene00000431",1824,16,15,882,3510,314,3058,467,5383,494,621,195,80,1566,61,586,1794
"WBGene00000432",6,3,1,16,8,6,9,17,5,1,3,1,5,2,2,6,20
"WBGene00000433",1122,3,5,299,2387,176,1492,186,2563,132,126,11,9,863,7,131,1006
"WBGene00000434",113,4,4,76,74,5,182,11,212,79,38,35,85,15,16,45,308
"WBGene00000435",987,11,18,307,1544,264,1507,319,2512,67,200,37,20,570,32,137,1043
"WBGene00000436",7,3,3,92,12,1,16,2,9,16,67,21,7,4,16,38,6
"WBGene00000437",4125,26,95,3338,8153,1203,5718,6093,9320,1282,2593,436,298,3843,319,2112,9453
"WBGene00000438",1663,3,56,672,1104,6,2117,77,16519,269,477,216,186,181,257,495,1087
"WBGene00000439",846,17,21,790,2613,560,1655,1219,2606,169,569,26,19,1633,30,380,1970
"WBGene00000440",825,3,2,183,1293,16,732,39,332,111,139,19,13,165,15,58,235
"WBGene00000441",1153,9,362,5491,374,10,5213,24,25291,2819,8471,1773,1142,58,1303,5676,1341
"WBGene00000442",806,4,29,408,462,7,752,15,401,47,305,106,49,30,83,142,226
"WBGene00000443",17198,62,370,5089,33153,3264,21621,6620,27807,3104,4454,1611,496,12075,893,3925,20550
"WBGene00000444",1059,798,1159,827,1216,522,3088,4295,3939,346,474,230,275,767,655,479,26377
"WBGene00000445",3861,4,14,474,4863,21,3644,299,3361,212,539,160,47,984,38,342,1307
"WBGene00000446",25,3,16,344,6,3,89,5,1824,183,257,57,208,3,33,268,126
"WBGene00000447",2000,3,6,333,1048,5,1507,37,1048,89,305,75,29,89,32,289,396
"WBGene00000448",11523,10,50,2495,17600,333,12907,651,19571,1306,1704,475,172,5030,154,2010,6830
"WBGene00000449",2676,6,24,1023,7071,1075,5346,2949,5053,311,650,145,103,3607,46,519,7648
"WBGene00000450",103,2,0,4,44,3,85,3,35,7,2,0,7,12,4,1,118
"WBGene00000451",1441,3,19,84,2168,298,1904,289,258,55,70,66,175,964,58,101,5180
"WBGene00000452",1379,3,3,467,1900,73,1506,95,2608,154,380,89,28,472,19,317,692
"WBGene00000453",14958,23,1479,2890,21427,1200,21661,4066,21923,1279,2232,753,309,8749,267,1918,18737
"WBGene00000454",184,1,3,381,88,0,465,3,2561,63,163,35,101,15,27,281,309
"WBGene00000455",5833,7,48,1097,8992,312,9071,1012,14126,477,865,287,167,2788,135,570,4503
"WBGene00000457",619,6,23,147,1037,1216,2065,2638,3915,32,128,23,27,1499,5,178,6147
"WBGene00000458",5277,15,361,1633,7959,657,5999,2140,15722,914,1107,668,373,2874,473,975,6594
"WBGene00000459",11649,2520,6125,8958,17186,1080,22175,7166,42887,4242,6338,3478,2184,7668,7550,5497,58417
"WBGene00000460",1231,944,1951,404,1348,282,3341,3965,7737,247,263,197,209,681,1153,182,35485
"WBGene00000461",596,378,342,83,832,1038,1996,4822,694,45,83,17,46,1074,235,53,13350
"WBGene00000462",772,266,357,526,1221,258,1401,1420,1009,185,466,315,111,628,409,440,5588
"WBGene00000463",5532,53,670,1112,13474,10094,11775,19938,4600,677,963,169,136,11294,116,747,22176
"WBGene00000464",15173,1643,3064,6179,18633,535,24162,3331,19398,1945,4330,3144,1833,5752,5423,3515,27630
"WBGene00000465",3292,25190,131827,1291,1252,85,2966,678,1988,291,1184,1495,18061,385,89097,641,29098
"WBGene00000466",4841,1286,1716,5006,7718,859,9922,3480,5373,1082,2972,2045,1581,3458,4970,3538,16625
"WBGene00000467",681,1538,2006,3323,817,774,1919,6334,1643,322,1764,1308,1114,659,4885,2569,9571
"WBGene00000468",724,6,6,18,2694,265,1314,327,83,38,9,0,6,1579,6,9,944
"WBGene00000469",6732,25,34,130,40677,5754,11329,5587,540,29,129,6,8,24753,63,65,12010
"WBGene00000472",133659,3814,17805,44891,146722,18008,189540,32929,421585,24507,31978,24799,20826,52403,20612,31256,175257
"WBGene00000473",4158,19878,47233,3504,2002,371,6172,2292,619,460,2122,3837,20651,501,69065,2761,54473
"WBGene00000474",1794,9982,15703,3286,1248,681,2688,2906,284,356,2635,2366,8258,614,36461,3987,25035
"WBGene00000475",14724,6842,34163,20790,20839,16341,34116,36931,83607,13714,21033,22582,23010,15118,41956,24510,132919
"WBGene00000476",3792,12,18,838,4248,23,5051,249,7110,547,823,202,89,633,80,808,2246
"WBGene00000477",300,11,66,805,56,22,1604,44,1822,584,469,425,165,28,254,1164,382
"WBGene00000478",12060,22,427,1320,15042,913,16353,3479,13780,838,1422,243,141,6143,97,1053,21656
"WBGene00000479",14570,16458,99913,15463,15519,1191,19217,7415,113106,13826,9099,15983,34401,6886,113907,10898,92116
"WBGene00000480",8047,2713,5617,6051,6725,580,13179,6349,33332,1992,4795,2687,2797,2791,8444,3516,53623
"WBGene00000481",254,4,40,1153,23,15,1284,38,5433,322,1041,217,111,26,147,950,333
"WBGene00000482",17012,1292,4362,8520,32575,1749,60323,11112,27459,5341,5581,6638,1442,17420,2167,5424,92987
"WBGene00000483",57,6,3,30,324,39,146,27,71,12,39,0,16,107,8,33,403
"WBGene00000484",1942,2,5,540,1768,13,2437,99,2683,140,401,56,53,308,26,338,960
"WBGene00000485",5922,61,67,4056,4498,52,10223,264,6826,871,1815,430,243,716,266,1980,3258
"WBGene00000487",94,7,3,1065,45,10,203,7,374,20,900,9,22,25,10,255,353
"WBGene00000488",1211,5,30,986,390,7,2700,60,5030,514,903,114,46,49,89,868,677
"WBGene00000490",3560,4,15,1755,2244,11,4916,80,2182,255,877,197,100,338,83,878,1637
"WBGene00000491",2228,9,32,1783,2034,69,4826,112,4631,540,1492,242,155,530,161,1447,1941
"WBGene00000492",1699,14,14,445,2130,48,2116,78,1358,125,408,76,80,343,61,383,812
"WBGene00000493",6233,25,61,171,5569,71,6402,294,852,1182,413,1175,656,1091,182,274,2809
"WBGene00000496",595,1231,26386,1000,503,23,862,182,616,239,804,1220,3474,195,30768,507,2145
"WBGene00000497",16379,20,279,1005,4990,17,27223,438,1027,2950,909,1174,1892,455,390,837,8167
"WBGene00000498",771,1339,3901,1688,1243,1073,3144,2979,2012,493,1045,1104,1275,1301,4171,1254,18417
"WBGene00000499",91,261,486,533,84,11,221,120,629,85,269,329,554,45,1693,236,1248
"WBGene00000500",3317,1469,1276,3167,5054,3871,4964,7778,2938,560,3203,1123,879,2451,4509,3037,15367
"WBGene00000501",86,8,73,2681,24,9,981,32,8828,579,2004,367,135,18,143,1687,340
"WBGene00000502",2127,772,1328,3958,2685,1420,4463,4331,3261,1286,1982,2444,1576,1750,5566,1860,14301
"WBGene00000503",6505,347,7003,252,20295,8959,99589,52265,25533,803,713,208,474,30070,246,123,250656
"WBGene00000506",1532,648,463,1394,2243,339,2197,1420,2000,383,861,533,463,1031,1984,1016,6674
"WBGene00000507",3696,772,1375,3277,4567,175,5020,1110,10148,1339,1513,1520,850,1714,2603,2494,9241
"WBGene00000508",7696,270,3019,8633,10719,752,15255,4283,33091,3375,4792,3252,1491,4895,3667,5710,23939
"WBGene00000509",2658,594,1209,4909,2774,111,4301,918,15613,611,2600,1494,997,877,4103,2788,4923
"WBGene00000510",1721,1,162,2431,1274,18,3591,65,8363,796,2881,795,321,187,496,1918,1004
"WBGene00000511",459,16,58,706,677,96,948,233,678,219,516,620,227,320,390,569,602
"WBGene00000512",612,370,199,345,826,214,1061,1447,619,209,959,1599,1022,532,1289,305,7572
"WBGene00000513",101,5,1,7,36,3,207,5,187,52,2,1,15,16,19,11,176
"WBGene00000514",1972,157,222,429,2248,284,2192,767,1297,515,584,1062,446,840,739,776,3353
"WBGene00000515",575,16,342,1131,1059,153,1450,987,1971,750,1188,2252,887,395,2686,1044,2078
"WBGene00000516",13418,74,108,697,27032,2744,10884,2556,2956,484,817,662,402,11873,329,816,5521
"WBGene00000517",2960,672,1469,2554,3799,560,3834,1321,8089,676,1629,925,1138,2322,2870,1858,9585
"WBGene00000518",1820,25,116,1866,1321,21,3034,94,19152,943,1465,525,241,250,510,1199,1673
"WBGene00000519",1097,1091,1654,2041,1200,462,2854,2144,3896,608,993,1212,971,874,3141,995,10612
"WBGene00000520",711,839,1426,3374,1193,377,2449,2667,1799,663,1586,1025,811,727,3976,2329,11590
"WBGene00000521",8294,11,1,12,3342,9,5766,119,227,2253,38,350,33,257,24,5,2332
"WBGene00000522",298,2,280,460,118,2,698,104,3863,367,1571,1213,991,25,1521,644,148
"WBGene00000523",3902,86,104,503,5843,136,3434,195,1931,455,890,717,66,1044,241,703,1564
"WBGene00000524",1192,1,177,463,580,14,2021,41,2624,429,719,374,256,50,349,664,584
"WBGene00000525",5,8,16,7,6,2,6,6,217,8,4,1,4,4,39,9,64
"WBGene00000526",8291,56,85,840,10287,74,6091,120,3133,574,1066,722,80,1451,322,1031,2174
"WBGene00000527",7733,37,2694,2830,7218,77,11923,307,25461,3140,3898,2186,1616,1579,5178,2327,4206
"WBGene00000528",3278,37,3244,19691,1672,10,5647,48,31084,1525,12903,4118,1501,237,4348,15297,2528
"WBGene00000529",166,10,108,5006,45,9,886,10,16280,827,3578,436,142,25,163,3035,331
"WBGene00000530",440,701,1265,11794,205,12,701,145,4588,451,3753,948,612,79,1877,7694,3281
"WBGene00000531",14,10,47,285,4,12,246,6,4714,331,171,344,159,12,182,232,86
"WBGene00000532",6519,1263,4049,5146,9880,631,13652,3058,14890,2448,3292,4223,2058,5072,6807,4149,22569
"WBGene00000533",1259,658,1310,1786,2061,202,3425,933,3380,583,1350,1185,897,920,2984,1285,6683
"WBGene00000534",19520,1522,6208,27754,27886,10312,25730,18984,24308,6334,43175,5140,5423,13338,9124,16625,40654
"WBGene00000535",145,17,2237,7248,135,18,1070,44,3583,403,10326,1533,2015,11,4129,3719,173
"WBGene00000536",1359,352,562,3381,2402,375,2715,1691,4452,635,2101,1095,741,983,1962,1570,5128
"WBGene00000539",452,5,129,55,340,5,596,29,103,270,131,733,343,53,673,169,110
"WBGene00000540",845,264,363,1436,1287,374,1893,797,2267,337,1080,530,271,681,778,919,3442
"WBGene00000541",1192,4,150,1218,401,24,2122,226,1653,379,1189,1396,373,62,679,1693,481
"WBGene00000542",4317,1575,8272,41017,4222,215,22783,2311,75301,7022,55445,13317,6263,1606,10546,14483,24488
"WBGene00000543",2793,683,1278,3358,3980,235,4600,1588,2500,1028,2226,1867,1002,1792,3529,2257,7311
"WBGene00000544",63,17,140,152,21,22,309,79,186,17,190,77,1172,33,344,50,1507
"WBGene00000545",1662,66,1018,8821,1636,155,5899,647,21603,1295,8371,1808,831,815,1731,4333,3065
"WBGene00000546",19,6,247,119,7,36,58,61,36,19,76,122,599,30,864,42,88
"WBGene00000547",7275,973,3210,4925,4624,84,12157,423,7582,2016,4480,4105,2157,1131,4391,2937,6996
"WBGene00000548",27274,3945,6473,14707,34515,564,43442,5261,49404,5484,8454,4964,2618,14626,9136,7009,50205
"WBGene00000549",7285,1056,7746,8835,9677,1088,17086,5415,20399,5952,6189,7491,3533,5017,8626,7283,47057
"WBGene00000550",19833,1724,12005,14199,23691,442,43278,4495,35099,14360,14169,17957,8147,8896,25068,15096,28582
"WBGene00000551",0,1,0,334,0,1,28,0,544,2,48,1,18,2,3,8,77
"WBGene00000552",88550,3364,10057,40310,48689,1385,93955,13909,376200,25580,32331,23176,17725,10458,19230,23857,116875
"WBGene00000553",5750,6,80,2256,2888,10,7463,187,17843,1725,1457,410,222,344,174,1641,3221
"WBGene00000554",12210,177,633,5465,11303,493,17335,1375,39550,2276,6045,2555,2069,2517,2375,5144,8540
"WBGene00000555",0,0,0,96,0,1,5,0,2,4,67,0,7,2,2,39,8
"WBGene00000556",18,1,43,14,2,0,49,1,117,57,18,80,81,4,203,16,1
"WBGene00000557",2109,1,164,89,796,6,2725,11,1632,1305,192,1226,525,27,255,141,307
"WBGene00000558",51,0,185,42,3,3,2556,5,1689,334,46,164,668,2,304,14,273
"WBGene00000559",0,0,0,313,0,2,1,0,4,1,521,0,1,3,0,355,12
"WBGene00000560",10,32,18,4507,0,1,292,2,745,35,16860,7,0,4,9,6616,120
"WBGene00000561",1702,12,23,346,7389,428,2476,1529,306,489,194,12,9,2702,6,146,5534
"WBGene00000562",627,37,60,200,567,72,1044,306,582,124,72,59,125,232,71,146,2218
"WBGene00000563",162,3,4,209,41,8,326,9,280,45,139,36,23,22,17,153,203
"WBGene00000564",4745,913,2170,3162,6149,295,9885,2466,23783,1475,2434,1290,1385,2762,2950,1865,19340
"WBGene00000565",5307,707,3643,4656,4866,267,11615,1443,10418,4185,5153,3324,1764,2075,3400,2845,13684
"WBGene00000566",12814,1333,3509,3550,15476,1494,24175,5268,15527,2255,4411,2255,2495,7760,4025,2472,44380
"WBGene00000567",21305,3351,6384,25482,24912,4278,46512,15914,37986,7147,13965,11429,6551,9905,16515,13813,77193
"WBGene00000583",1266,4,51,241,1796,26,1841,56,1056,338,252,284,123,400,199,227,694
"WBGene00000584",3079,8,37,774,2236,62,2550,213,8321,384,659,287,226,584,123,508,1378
"WBGene00000585",3350,794,1654,3343,5707,191,5012,1076,2510,1089,1831,2310,1645,2324,5493,2197,5813
"WBGene00000591",13540,903,2194,2631,22694,885,30242,4066,13991,4487,2014,1485,3461,11175,1521,1922,115794
"WBGene00000592",495,696,1356,3038,501,64,969,787,622,152,900,935,851,228,3287,1135,7316
"WBGene00000593",4,5,2,17801,3,9,11,18,10,1,496919,18,76,1,35,1524,46
"WBGene00000594",61,0,1,145,13,1,488,0,489,47,63,429,128,1,102,34,41
"WBGene00000596",7,0,65,7,1,1,20,1,4,5,19,6,491,2,3202,19,2
"WBGene00000597",9,99,44368,232,16,16,39,27,167,12,155,67,17006,18,68416,47,65
"WBGene00000598",15,2,1,10,15,5,28,13,28,3,127,0,16,4,6,1,66
"WBGene00000599",2789,6,321,2735,206,25,26433,40,32111,14513,10117,35687,20049,7,3294,636,9135
"WBGene00000601",22,3,221,97,0,4,1887,10,126,545,163,2418,13970,3,11972,22,161
"WBGene00000602",0,3,164,62,2,1,181,8,49,351,94,2263,4171,4,6823,27,40
"WBGene00000603",1892,8,287,1574,249,22,21367,44,467,2704,32532,4566,47888,30,3307,213,6098
"WBGene00000606",4,8,145,248,0,5,26,3,31,57452,275,12147,17327,9,1020,230,93
"WBGene00000608",6,108,61932,172,9,5,8,0,43,18,3620,94,30582,13,113728,30,42
"WBGene00000609",0,169,71952,148,5,0,4,1,11,24,165,119,33197,14,136207,50,37
"WBGene00000610",94,3,4,736,23,6,471,36,9,91,16249,20,464,10,25,88,225
"WBGene00000611",1632,1,334,899,458,19,4460,80,3330,1820,9487,643,3381,36,741,684,1511
"WBGene00000612",9,2,3,1015,7,1,79,1,23,6,32243,13,11,5,3,170,15
"WBGene00000613",49,1,5,9411,44,6,35,3,16,24,195623,65,44,5,34,1710,37
"WBGene00000614",6,1,0,15522,12,1,9,0,12,1,471871,11,67,4,29,1011,15
"WBGene00000615",30,35,651,167,28,48,130,188,84,96,118,16408,96837,25,4526,58,1013
"WBGene00000616",32,14,1064,335,70,3,4600,45,36438,1611,663,11104,14843,26,17735,226,582
"WBGene00000617",8,3,10,12479,9,1,15,13,6,1,358329,4,133,8,208,1025,32
"WBGene00000618",30,11,27,184,50,3,56,12,210,37581,310,4582,1202,28,121,107,133
"WBGene00000620",25,2,75,9810,45,3,95,11,2,13,198131,126,344,23,138,1553,87
"WBGene00000621",12,1,0,1241,2,3,47,13,55,3,29692,1,46,4,14,171,26
"WBGene00000622",7,3,16,904,7,3,20,8,20,9,13859,9,28,11,33,291,24
"WBGene00000623",107,1,2,30,56,13,109,14,11,1909,258,742,134,25,17,34,96
"WBGene00000624",53,4,1,21,34,4,37,2,14,176,103,159,63,16,2,13,46
"WBGene00000625",1940,9,344,1413,315,9,18588,72,210,2443,31442,4144,24578,52,1289,200,4601
"WBGene00000626",0,4,168,6,0,1,12,3,69,7,86,1615,35641,5,1476,8,94
"WBGene00000627",3,4,1,6236,8,1,13,3,27,4,151819,6,18,5,14,959,3
"WBGene00000628",0,5,0,12035,7,2,47,8,24,2,299304,10,92,4,14,695,87
"WBGene00000629",13,0,0,9,8,3,27,3,998,12,74,8,12,6,7,7,95
"WBGene00000630",467,1,46,64,176,13,867,65,860,62,137,87,53,50,88,49,372
